GPSaddress,Bldg name,Bldg units,Bldg flrs,Source,latlong,Barsala,Bay Village,Blue Corporate Housing,Bluebird,Churchill Corporate Housing,Compass,Express Corporate Housing,Evonify,Furnished Quarters,Global Luxury Suites,Maverick Suites ,National Corporate Housing,Northeast Suites,Oakwood Worldwide,Princeton Properties,Seamless Transitions,Sonder,Stay Alfred,Stayawhile,O-Lodging House,O-Exec Suite,lat,long
"110 Stuart St, Boston MA 02116",,,28,AirBPDBjn,"42.350966,-71.0655877",,,,,,,,,,,,,,,,,,,,,,42.350966,-71.0655877
"111 Perkins St, Jamaica Plain MA 02130",,,29,BigBldgDB,"42.3219957,-71.1164429",,,,,,,,,,,,,,,,,,,,,,42.3219957,-71.1164429
"1110 Commonwealth Ave, Boston MA 02215",Nora House,,8,AirBPDBjn,"42.3515094,-71.1246594",,,,,,,,,,,,,,,,,,,,,,42.3515094,-71.1246594
"11-11E W Broadway St, South Boston MA 02127",Eleven West,,7,BigBldgDB,"42.3424231,-71.05690349999999",,,,,,,,,,,,,,,,,,,,,,42.3424231,-71.0569035
"113 Beacon Stret, Boston MA 02116",,,6,RichCorpSS,"42.3549779,-71.0732458",,,,,,,,,,,,,,,,1,,,,,,42.3549779,-71.0732458
"118 Huntington Av, Boston MA 02116",,,20,RichCorpSS,"42.3460992,-71.0802793",,,,,,,,,,,,,,1,,,,,,,,42.3460992,-71.0802793
"120 Kingston Street, Boston MA 02111",Radian,240,25,RichCorpSS,"42.3522851,-71.05910879999999",,,,,1,,,,1,1,,,1,1,,1,,,,,,42.3522851,-71.0591088
"120 Nashua St, Boston MA 02114",,,38,BigBldgDB,"42.3674814,-71.0652928",,,,,,,,,,,,,,,,,,,,,,42.3674814,-71.0652928
"121 Park Drive #1, Boston MA 02215",,,5,RichCorpSS,"42.3419899,-71.0975491",,,,,,,,,,,,,,,,,,,1,,,42.3419899,-71.0975491
"121-123 Beach St, Boston MA 02111",,,8,AirBPDBjn,"42.3504324,-71.0577031",,,,,,,,,,,,,,,,,,,,,,42.3504324,-71.0577031
"121-127 Portland St, Boston MA 02114",,,10,BigBldgDB,"42.3635856,-71.0604741",,,,,,,,,,,,,,,,,,,,,,42.3635856,-71.0604741
"124 Saint Botolph St, Boston MA 02115",Saint Botolph Apartments,,4,RichCorpSS,"42.3439662,-71.0815911",,,,,,,,,,,,,1,,,,,,,,,42.3439662,-71.0815911
"125 Guest Street, Boston MA 02135",Lantera at Boston Landing,,15,AirBPDBjn,"42.3564009,-71.1427164",,,,,,,,,,,,,,,,,,,,,,,
"1282 Boylston St, Boston 02115",The Viridian,350,11,RichCorpSS,"42.3445360,-71.0971362",,,,,,,,,1,,,,,,,,,,,,,42.344536,-71.0971362
"130-140 Bowdoin St, Boston MA 02108",,,18,BigBldgDB,"42.358631,-71.062478",,,,,,,,,,,,,,,,,,,,,,42.358631,-71.062478
"131 State St, Boston MA 02109",,,11,BigBldgDB,"42.3590653,-71.05421919999999",,,,,,,,,,,,,,,,,,,,,,42.3590653,-71.0542192
"131-131A Beverly St, Boston MA 02114",,,15,BigBldgDB,"42.367028,-71.060084",,,,,,,,,,,,,,,,,,,,,,42.367028,-71.060084
"1330 Boylston Street, Boston MA 02215",1330 Boylston,200,13,RichCorpSS,"42.3441432,-71.0983938",,,,,1,,,,,1,,,1,1,,1,,,,,,42.3441432,-71.0983938
"1335 Boylston Street, Boston MA 02215",The Van Ness,150,13,RichCorpSS,"42.3443992,-71.0997491",,,,,,,,,,1,,,1,,,,,,,,,42.3443992,-71.0997491
"135 Clarendon Street, Boston  MA 02116",One Back Bay,285,11,RichCorpSS,"42.3488,-71.074024",,,,,,1,,,,,,,1,,,1,,,1,,,42.3488,-71.074024
"1365 Boylston Street, Boston MA 02115",,,13,RichCorpSS,"42.3441158,-71.1003489",,,,,,,,,,,,,1,,,,,,,,,42.3441158,-71.1003489
"143 Arlington St, Boston MA 02116",,14,4,LHLicenses,"42.3485831,-71.0696013",,1,,,,,,,,,,,,,,,,,1,,,42.3485831,-71.0696013
"145 Pinckney St, Boston MA 02114",,,7,AirBPDBjn,"42.3590713,-71.0714584",,,,,,,,,,,,,,,,,,,,,,42.3590713,-71.0714584
"1467 Tremont St, Boston MA 02120",Valor,18,4,RichCorpSS,"42.3320848,-71.0978276",,,,,,,,,,,,,1,,,,,,,,,42.3320848,-71.0978276
"147 Kelton St, Boston MA 02134",,,8,AirBPDBjn,"42.348153,-71.139613",,,,,,,,,,,,,,,,,,,,,,42.348153,-71.139613
"1480 Tremont St, Boston MA 02120",The Tremont,66,4,RichCorpSS,"42.3316454,-71.0985238",,,,,,,,,,,,,1,,,,,,,,,42.3316454,-71.0985238
"1-5 Avery St, Boston MA 02111",,,14,AirBPDBjn,"42.35331679999999,-71.0628507",,,,,,,,,,,,,,,,,,,,,,42.3533168,-71.0628507
"1-5 Cortes St, Boston MA 02116",,48,4,LHLicenses,"42.3484186,-71.0698384",,1,,,,,,,,,,,,,,,,,,1,,42.3484186,-71.0698384
"15 Beacon Street, Boston MA 02108",,,10,RichCorpSS,"42.3584016,-71.0619665",,,,,,,,,,,,,,,,1,,,,,,42.3584016,-71.0619665
"15 Channel Center St, South Boston MA 02127",,,6,BigBldgDB,"42.3454288,-71.0513553",,,,,,,,,,,,,,,,,,,,,,42.3454288,-71.0513553
"15 N Beacon St, Allston MA 02134",,,11,AirBPDBjn,"42.3541397,-71.1379353",,,,,,,,,,,,,,,,,,,,,,42.3541397,-71.1379353
"150 Huntington Ave, Boston MA 02115",The Greenhouse Apartments,322,14,RichCorpSS,"42.3444878,-71.0823684",,,,,1,,,,,,,,,,,1,,,,,,42.3444878,-71.0823684
"150 Staniford St, Boston MA 02114",,,6,BigBldgDB,"42.364184,-71.06379799999999",,,,,,,,,,,,,,,,,,,,,,42.364184,-71.063798
"153 Milk Street, Boston MA 02109",FIDI Luxury Lofts,,7,RichCorpSS,"42.3576641,-71.0540946",,,,,,,,,,,,,,,,,1,,,,,42.3576641,-71.0540946
"1575 Tremont St, Boston MA 02120",The Longwood,,14,RichCorpSS,"42.3335081,-71.10182",,,,,,,,,,,,,1,,,1,,,,,,42.3335081,-71.10182
"16 Cedar Ln Way, Boston MA 02108",Cedars,,4,RichCorpSS,"42.357607,-71.0698019",,,,,,,,,,,,,,,,1,,,,,,42.357607,-71.0698019
"16 Irving Street, Boston MA 02114",,,4,RichCorpSS,"42.3607332,-71.06624699999999",,,,,,,,,,,,,,,,1,,,,,,42.3607332,-71.066247
"16 Miner St, Boston MA 02115",,,6,AirBPDBjn,"42.3464408,-71.10274849999999",,,,,,,,,,,,,,,,,,,,,,42.3464408,-71.1027485
"160 Commonwealth Av, Boston MA 02116",,,7,AirBPDBjn,"42.3513461,-71.07869339999999",,,,,,,,,,,,,,,,,,,,,,42.3513461,-71.0786934
"161 South Huntington Ave, Jamaica Plain MA 02130",Olmstead Place,196,5,RichCorpSS,"42.326955,-71.1117544",,,,,,,,,,,,,,1,,,,,,,,42.326955,-71.1117544
"1661 Washington Street, Boston MA 02118",,,5,AirBPDBjn,"42.3378228,-71.0756055",,,,,,,,1,,,,,,,,,,,,,,42.3378228,-71.0756055
"1691 Commonwealth Av, Boston MA 02134",,,6,AirBPDBjn,"42.3419097,-71.1465879",,,,,,,,,,,,,,,,,,,,,,42.3419097,-71.1465879
"17 Battery Street, Boston MA 02109",,,5,RichCorpSS,"42.36618,-71.05217",,,,,,1,,,,,,,,,,,,,,,,42.36618,-71.05217
"17 Garrison Street, Boston MA 02116",,,4,RichCorpSS,"42.3459317,-71.0798963",,,,,,,,,,,,,,,,1,,,,,,42.3459317,-71.0798963
"172 Commonwealth Ave, Boston MA 02116",,,7,RichCorpSS,"42.35115039999999,-71.0790954",,,,,,1,,,,,,,,,,,,,,,,42.3511504,-71.0790954
"1721 Washington St, Boston MA 02118",,,6,AirBPDBjn,"42.3371213,-71.0768438",,,,,,,,,,,,,,,,,,,,,,42.3371213,-71.0768438
"175 Blossom Street, Boston MA 02114",Vesta At West End Apartments,,13,RichCorpSS,"42.3645551,-71.0692299",,,,,1,,,,,1,,1,,,,1,,,,,,42.3645551,-71.0692299
"176 Commonwealth Ave, Boston MA 02116",,,4,RichCorpSS,"42.351145,-71.0792811",,,,,,1,,,,,,,,,,1,,,,,,42.351145,-71.0792811
"177 Newbury Street, Boston MA 02116",,,5,RichCorpSS,"42.3506603,-71.079432",,,,,,,,,,,,,1,1,,,,,,,,42.3506603,-71.079432
"180 Brookline Avenue, Boston MA 02215",Fenway Triangle Trilogy,576,16,RichCorpSS,"42.3443871,-71.100938",,,,,1,,,,,1,,1,1,1,,1,,,,,,42.3443871,-71.100938
"180 Newbury St, Boston MA 02116",,,9,BigBldgDB,"42.3502143,-71.0792713",,,,,,,,,,,,,,,,,,,,,,42.3502143,-71.0792713
"188 West Canton St, Boston MA 02116",,,5,RichCorpSS,"42.3441919,-71.0762287",,,,,,,,,,,,,,,,1,,,,,,42.3441919,-71.0762287
"189-277 Massachusetts Av, Boston MA 02115",,,11,BigBldgDB,"42.3444175,-71.08684149999999",,,,,,,,,,,,,,,,,,,,,,42.3444175,-71.0868415
"19 Battery Street, Boston MA 02109",,,5,RichCorpSS,"42.3661862,-71.05216779999999",,,,,,1,,,,,,,,,,,,,,,,42.3661862,-71.0521678
"1906-1918 Dorchester Av, Dorchester Center MA 02124",,,6,BigBldgDB,"42.2845119,-71.0644536",,,,,,,,,,,,,,,,,,,,,,42.2845119,-71.0644536
"1960-1980 Commonwealth Av, Brighton MA 02135",,,6,BigBldgDB,"42.3389523,-71.1568889",,,,,,,,,,,,,,,,,,,,,,42.3389523,-71.1568889
"2-16 Harcourt St, Boston MA 02116",,,9,BigBldgDB,"42.346537,-71.0788632",,,,,,,,,,,,,,,,,,,,,,42.346537,-71.0788632
"2 Clarendon St, Boston MA 02116",,,6,AirBPDBjn,"42.3442481,-71.0724798",,,,,,,,,,,,,,,,,,,,,,42.3442481,-71.0724798
"200 Brookline Ave, Boston MA 02115",The Pierce,,30,RichCorpSS,"42.3438179,-71.1019651",,,,,,,,,,,,,,,,,1,,,,1,42.3438179,-71.1019651
"210-262 Harrison Av, Boston MA 02111",,,8,BigBldgDB,"42.347599,-71.0620631",,,,,,,,,,,,,,,,,,,,,,42.347599,-71.0620631
"219 Western Av, Allston MA 02134",,,9,BigBldgDB,"42.3633429,-71.1306714",,,,,,,,,,,,,,,,,,,,,,42.3633429,-71.1306714
"22 Liberty Dr, Boston MA 02210",,,15,BigBldgDB,"42.35459720000001,-71.0452732",,,,,,,,,,,,,,,,,,,,,,42.3545972,-71.0452732
"221 Massachusetts Ave, Boston MA 02115",Church Park,508,11,RichCorpSS,"42.344123,-71.0864765",,,,,,,,,1,,,,,,,1,,,,,,42.344123,-71.0864765
"225 Northern Ave, Boston MA 02210",Park Lane Seaport,460,13,RichCorpSS,"42.3486732,-71.0388905",,,,,1,,,,,,,,,1,,1,,,,,,42.3486732,-71.0388905
"228-256 Washington St, Boston MA 02109",,,43,BigBldgDB,"42.3580655,-71.05758569999999",,,,,,,,,,,,,,,,,,,,,,42.3580655,-71.0575857
"230 Boston Street, Dorchester MA 02125",,,4,RichCorpSS,"42.3221322,-71.0609427",,,,,,,,,,,,,,,,1,,,,,,42.3221322,-71.0609427
"234 Newbury Street, Boston MA 02116",,,5,RichCorpSS,"42.3496398,-71.08155599999999",,,,,,,,,,,,,,1,,,,,,,,42.3496398,-71.081556
"239 Commonwealth Av, Boston MA 02116",,,7,AirBPDBjn,"42.351033,-71.0826441",,,,,,,,,,,,,,,,,,,,,,42.351033,-71.0826441
"240 Commonwealth Ave, Boston MA 02116",,,5,RichCorpSS,"42.3503132,-71.08220399999999",,,,,,,,,,,1,,,,,1,,,,,,42.3503132,-71.082204
"245 Newbury St, Boston MA 02116",,,5,AirBPDBjn,"42.3497849,-71.0826238",,,,,,,,,,,,,,,,,,,,1,,42.3497849,-71.0826238
"24-58 Lagrange St, Boston MA 02116",,,30,BigBldgDB,"42.35143480000001,-71.0634717",,,,,,,,,,,,,,,,,,,,,,42.3514348,-71.0634717
"25 Bay State Road, Boston MA 02115",,,6,RichCorpSS,"42.3501285,-71.0939977",,,,,,,,,,,,,,,,1,,,,,,42.3501285,-71.0939977
"25 Northern Avenue, Boston MA 02210",,416,22,RichCorpSS,"42.3534969,-71.0474227",,,,,,,,,1,,,,,,,,,,,,,42.3534969,-71.0474227
"25 Oyster Bay Road, Dorchester MA 02125",Harbor Point,,10,RichCorpSS,"42.3190487,-71.03947269999999",,,,,,,,,,,,,,1,,,,,,,,42.3190487,-71.0394727
"250 Commonwealth Av, Boston MA 02116",,,6,AirBPDBjn,"42.3501568,-71.0828707",,,,,,,,,,,,,,,,,,,,,,42.3501568,-71.0828707
"250 First Ave, Charlestown MA 02129",HarborView at the Navy Yard,,11,BigBldgDB,"42.3773173,-71.0501018",,,,,,,,,,,,1,,1,,1,,,,,,42.3773173,-71.0501018
"25-35 Morrissey Blvd, Boston MA 02125",Hub 25,278,5,RichCorpSS,"42.3196966,-71.0508548",,,,,,,,,,,,,1,,,,,,,,,42.3196966,-71.0508548
"255 Beacon St, Boston MA 02116",,,6,AirBPDBjn,"42.3534936,-71.07876999999999",,,,,,,,,,,,,,,,,,,,,,42.3534936,-71.07877
"255-265 Charles St, Boston MA 02114",,,16,AirBPDBjn,"42.3633149,-71.0699169",,,,,,,,,,,,,,,,,,,,,,42.3633149,-71.0699169
"26 Stillman St, Boston MA 02113",,,6,AirBPDBjn,"42.3637838,-71.05685179999999",,,,,,,,,,,,,,,,,,,,,,42.3637838,-71.0568518
"260-400 Mt Vernon St, Dorchester MA 02125",,,7,BigBldgDB,"42.3192438,-71.0419798",,,,,,,,,,,,,,,,,,,,,,42.3192438,-71.0419798
"266 E. Berkeley St, Boston MA 02118",The Troy,,10,RichCorpSS,"42.343652,-71.0626837",,,,,,,,,,,,,,,,,1,,,,,42.343652,-71.0626837
"28 Cedar Way Lane, Boston MA 02108",,,5,RichCorpSS,"42.3578576,-71.06985929999999",,,,,,,,,,,,,,,,1,,,,,,42.3578576,-71.0698593
"28 Exeter Street, Boston MA 02116",Exeter Towers,96,9,RichCorpSS,"42.3501851,-71.0794686",,,,,,,,,1,,,,1,,,,,,,,,42.3501851,-71.0794686
"290 Commonwealth Av, Boston MA 02115",,,7,AirBPDBjn,"42.3496237,-71.0847185",,,,,,,,,,,,,,,,,,,,,,42.3496237,-71.0847185
"291 St Botolph St, Boston MA 02115",,,17,BigBldgDB,"42.3404368,-71.0868792",,,,,,,,,,,,,,,,,,,,,,42.3404368,-71.0868792
"29-35 Temple Pl, Boston MA 02111",The Suites at Temple Place,48,6,AirBPDBjn,"42.3550474,-71.0622106",,,,,,,,,,,,,,,,,,,,1,,42.3550474,-71.0622106
"30-36 Batterymarch St, Boston MA 02110",,,10,AirBPDBjn,"42.3576270,-71.0540612",,,,,,,,,,,,,,,,,1,,,,,,
"30 Caldwell Street, Charlestown MA 02129",,,4,RichCorpSS,"42.3847871,-71.0775402",,,,,,,,,,,,,,,,1,,,,,,42.3847871,-71.0775402
"30 Dalton Street, Boston MA 02115",Belvidere Dalton West/30 Dalton,218,27,RichCorpSS,"42.3459685,-71.0847361",,,,,,1,,,1,,,,,,,,,,,,,42.3459685,-71.0847361
"30 Garrison Street, Boston MA 02116",Garrison Square Apartments,,6,RichCorpSS,"42.3456536,-71.07872619999999",,,,,1,,,,1,1,,1,1,,,1,,,,,,42.3456536,-71.0787262
"30 Wallingford Rd, Brighton MA 02135",,,10,BigBldgDB,"42.34197289999999,-71.1526497",,,,,,,,,,,,,,,,,,,,,,42.3419729,-71.1526497
"300 Harrison Av, Boston MA 02118",,,8,BigBldgDB,"42.3456727,-71.06277659999999",,,,,,,,,,,,,,,,,,,,,,42.3456727,-71.0627766
"300 Summer St, Boston MA 02210",,,8,BigBldgDB,"42.3499931,-71.0491732",,,,,,,,,,,,,,,,,,,,,,42.3499931,-71.0491732
"301-319 Columbus Av, Boston MA 02116",,,9,AirBPDBjn,"42.34681399999999,-71.074522",,,,,,,,,,,,,,,,,,,,,,42.346814,-71.074522
"315 A Street, Boston MA 02210",315 on A,202,19,RichCorpSS,"42.3486656,-71.0483639",,,,,,,,,,1,,,1,,,,,1,,,,42.3486656,-71.0483639
"318-366 Tremont St, Boston MA 02116",,,10,BigBldgDB,"42.3482236,-71.0664561",,,,,,,,,,,,,,,,,,,,,,42.3482236,-71.0664561
"319R A St, South Boston MA 02127",,,20,BigBldgDB,"42.348639,-71.04841700000001",,,,,,,,,,,,,,,,,,,,,,42.348639,-71.048417
"32 Garrison Street, Boston MA 02116",Garrison Square Apartments,160,6,RichCorpSS,"42.3457149,-71.0790971",,,,,,,,,,,,,,1,,,,1,,,,42.3457149,-71.0790971
"320 D Street, Boston MA 02127",West Square,,4,RichCorpSS,"42.3409851,-71.04968389999999",,,,,,,,,,,,,,,,,1,,,,,42.3409851,-71.0496839
"324-332 Beacon St, Boston MA 02116",330 Beacon,,18,AirBPDBjn,"42.3528064,-71.0833837",,,,,,,,,,,,,,,,,,,,,,42.3528064,-71.0833837
"33 Gray Street, Boston MA 02116",,,4,RichCorpSS,"42.3456343,-71.0715745",,,,,,,,,,,,,,,,1,,,,,,42.3456343,-71.0715745
"35 South Huntington Ave, Boston MA 02130",Walter Huntington Apartments,38,6,RichCorpSS,"42.3311626,-71.1120329",,,,,,,,,,1,,,,,,,,,,,,42.3311626,-71.1120329
"350 North St, Boston MA 02113",,,10,AirBPDBjn,"42.3655117,-71.05182649999999",,,,,,,,,,,,,,,,,,,,,,42.3655117,-71.0518265
"3589-3612 Washington St, Jamaica Plain MA 02130",,,6,BigBldgDB,"42.3033246,-71.1107723",,,,,,,,,,,,,,,,,,,,,,42.3033246,-71.1107723
"372-378 Stuart St, Boston MA 02116",,,9,BigBldgDB,"42.3490017,-71.0729411",,,,,,,,,,,,,,,,,,,,,,42.3490017,-71.0729411
"373 Commonwealth Av, Boston MA 02115",,,6,AirBPDBjn,"42.349492,-71.08928569999999",,,,,,,,,,,,,,,,,,,,,,42.349492,-71.0892857
"375-401 Mt Vernon St, Dorchester MA 02125",,,9,BigBldgDB,"42.3176022,-71.0420172",,,,,,,,,,,,,,,,,,,,,,42.3176022,-71.0420172
"381 Congress Street, Boston MA 02110",The Lofts at 381 Congress,44,6,RichCorpSS,"42.3495068,-71.047625",,,,,,,,,,,,,,1,1,,,,,,,42.3495068,-71.047625
"390 Commonwealth Av, Boston MA 02115",,,9,AirBPDBjn,"42.3486408,-71.09025919999999",,,,,,,,,,,,,,,,,,,,,,42.3486408,-71.0902592
"398-498 Tremont St, Boston MA 02116",,,7,BigBldgDB,"42.3461316,-71.0679719",,,,,,,,,,,,,,,,,,,,,,42.3461316,-71.0679719
"4 Charlesgate East , Boston MA 02115",,,8,AirBPDBjn,"42.3500788,-71.0915041",,,,,,,,,,,,,,,,,,,,,,42.3500788,-71.0915041
"4 Emerson Place, Boston MA 02114",Asteria at West End Apartments,,11,RichCorpSS,"42.3642747,-71.0680228",,,1,,1,,,,1,1,,1,1,1,,1,,,,,,42.3642747,-71.0680228
"40 Boylston St, Boston MA 02116",,,7,RichCorpSS,"42.3522094,-71.0639027",1,,,,,,,,,,,,,,,,1,,,,,42.3522094,-71.0639027
"40 E Pier Dr, East Boston MA 02128",Portside at East Pier,,6,AirBPDBjn,"42.3659274,-71.0400274",,,,,,,,,,,,,,,,,,,,,,,
"40 Fisher Ave, Boston MA 02120","Cliff apts, aka Longwood terrace",15,3,RichCorpSS,"42.32738519999999,-71.1016343",,,,,,,,,,,,,1,,,,,,,,,42.3273852,-71.1016343
40 Temple Street  MA 02114,40 Temple Street Apartments,,3,RichCorpSS,"42.360169,-71.063465",,,,,,,,,,,1,,1,,,,,,,1,,42.360169,-71.063465
"400 Columbus Ave, Boston MA 02116",400 Columbus Ave Apartments,,4,RichCorpSS,"42.3444815,-71.0763637",,,,,,,,,,,1,,1,,,,,,,1,,42.3444815,-71.0763637
"400 Stuart St, Boston MA 02116",,,8,BigBldgDB,"42.3488635,-71.07361829999999",,,,,,,,,,,,,,,,,,,,,,42.3488635,-71.0736183
"401 Mt Vernon St, Dorchester MA 02125",,,7,BigBldgDB,"42.3166575,-71.04053739999999",,,,,,,,,,,,,,,,,,,,,,42.3166575,-71.0405374
"408-826 Border St, East Boston MA 02128",,,7,BigBldgDB,"42.3815525,-71.0416693",,,,,,,,,,,,,,,,,,,,,,42.3815525,-71.0416693
"410 Stuart St, Boston MA 02116",,,14,BigBldgDB,"42.348578,-71.074482",,,,,,,,,,,,,,,,,,,,,,42.348578,-71.074482
"410-396 Brookline Av, Boston MA 02115",,,25,BigBldgDB,"42.3382746,-71.1069663",,,,,,,,,,,,,,,,,,,,,,42.3382746,-71.1069663
"411 D Street, Boston MA 02210",Flats On D,197,6,RichCorpSS,"42.3446367,-71.0435978",,,,,,,,,,,,,,1,,,,,,,,42.3446367,-71.0435978
"42 Beach Street, Boston MA 02111",Avalna Lofts/Residences,,10,AirBPDBjn,"42.3516372,-71.0609659",,,,,,,,,,,,,,,,,,,,,,,
42 Lomasney Way MA 02114,,,4,RichCorpSS,"42.3654145,-71.06432029999999",,,,,,,,,,,,,,,,1,,,,,,42.3654145,-71.0643203
"423-435 E Eighth St, South Boston MA 02127",,,17,BigBldgDB,"42.330928,-71.0435942",,,,,,,,,,,,,,,,,,,,,,42.330928,-71.0435942
"44 Prince St, Boston MA 02113",,,6,AirBPDBjn,"42.3644291,-71.0550232",,,,,,,,,,,,,,,,,,,,,,42.3644291,-71.0550232
"45 E Newton St, Boston MA 02118",,,7,BigBldgDB,"42.3376389,-71.0724798",,,,,,,,,,,,,,,,,,,,,,42.3376389,-71.0724798
"45 Stuart St, Boston MA 02116",AVA Theater District,,35,AirBPDBjn,"42.3511359,-71.0640199",,,,,,,,,,,,,,,,,,,,,,,
"45 Worcester Street, Boston MA 02118",,,5,RichCorpSS,"42.3388008,-71.07694830000001",,,,,,,,,,,,,,,,1,,,,,,42.3388008,-71.0769483
"455 Massachusetts Ave, Boston MA 02118",,,5,RichCorpSS,"42.34019929999999,-71.0815277",,,,,,,,,,,,,1,,,,,,,,,42.3401993,-71.0815277
"457 E First St, South Boston MA 02127",,,6,BigBldgDB,"42.3379144,-71.04193029999999",,,,,,,,,,,,,,,,,,,,,,42.3379144,-71.0419303
"47-49 Hancock St, Boston MA 02114",,,4,RichCorpSS,"42.3597937,-71.0646416",,,,,,,,,,,,,,,,,1,,,,,42.3597937,-71.0646416
"476 Columbus Ave, Boston MA 02118",,,4,RichCorpSS,"42.3429054,-71.0784803",,,,,,,,,,,,,,,,1,,,,,,42.3429054,-71.0784803
"48 Beacon St, Boston MA 02108",,,12,AirBPDBjn,"42.3568002,-71.0673961",,,,,,,,,,,,,,,,,,,,,,42.3568002,-71.0673961
"48 Hereford Street, Boston MA 02115",,,4,RichCorpSS,"42.3490672,-71.0856014",,,,,,,,,,,,,,,,1,,,,,,42.3490672,-71.0856014
